 Black and White,Color,unknown:color,love,murder,friend,death,police,high school,new york city,alien,fbi,boy,school,revenge,drugs,prison,escape,dog,friendship,money,party,scientist,serial killer,detective,marriage,wedding,island,sex,teenager,lawyer,rescue,christmas,cia,best friend,future,Approved,G,GP,M,NC-17,Not Rated,PG,PG-13,R,Unrated,X,unknown:content_rating,missing_homepage,duringcreditsstinger,woman_director,independent_film,based_on_novel,aftercreditsstinger,murder.1,violence,dystopia,revenge.1,sport,3d,friendship.1,teenager.1,sex.1,musical,biography,new_york,sequel,los_angeles,high_school,police.1,suspense,love.1,alien.1,family,prison.1,london_england,superhero,nudity,drug,dying_and_death,father_son_relationship,remake,serial_killer,magic,escape.1,daughter,world_war_ii,based_on_comic_book,wedding.1,kidnapping,time_travel,fbi.1,corruption,af,cs,da,en,es,fr,he,hu,is,it,nl,th,warner_bros_,universal_pictures,paramount_pictures,twentieth_century_fox_film_corporation,columbia_pictures,new_line_cinema,touchstone_pictures,walt_disney_pictures,relativity_media,metro_goldwyn_mayer__mgm_,columbia_pictures_corporation,miramax_films,village_roadshow_pictures,dreamworks_skg,regency_enterprises,united_artists,fox_searchlight_pictures,dune_entertainment,count_production_countries,year,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,Fri,Mon,Sat,Sun,Thu,Tue,Wed,count_spoken_langueges,Released,Robert De Niro,Morgan Freeman,Bruce Willis,Johnny Depp,Matt Damon,Nicolas Cage,Steve Buscemi,Liam Neeson,Denzel Washington,Brad Pitt,Bill Murray,J.K. Simmons,Tom Cruise,Will Ferrell,Harrison Ford,Tom Hanks,Jim Broadbent,Anthony Hopkins,Sylvester Stallone,James Franco,Julia Roberts,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,num_critic_for_reviews,duration,director_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,imdb_rating,aspect_ratio,movie_facebook_likes,imdbId,movieId,tmdbId,popularity,revenue,runtime,vote_average,vote_count,actor_facebook_likes,mv_lens_avg_rating,tomato_user_rating
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,723.0,178.0,0.0,760505847.0,886204,4834,0.0,3054.0,237000000.0,2009.0,7.9,1.78,33000,499549,72998,19995,150.437577,2787965087,162.0,7.2,11800,2791.0,3.6222502851556135,4.1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,302.0,169.0,563.0,309404152.0,471220,48350,0.0,1238.0,300000000.0,2007.0,7.1,2.35,0,449088,53125,285,139.082615,961000000,169.0,6.9,4500,46000.0,3.3906291361510634,3.8
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,602.0,148.0,0.0,200074175.0,275868,11700,1.0,994.0,245000000.0,2015.0,6.8,2.35,85000,2379713,136020,206647,107.37678799999999,880674609,148.0,6.3,4466,11554.0,3.3799005266237567,3.5
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,813.0,164.0,22000.0,448130642.0,1144337,106759,0.0,2701.0,250000000.0,2012.0,8.5,2.35,164000,1345836,91529,49026,112.31295,1084939099,165.0,7.6,9106,73000.0,3.971348935315388,4.3
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,462.0,132.0,475.0,73058679.0,212204,1873,1.0,738.0,263700000.0,2012.0,6.6,2.35,24000,401729,93363,49529,43.926995,284139100,132.0,6.1,2124,1802.0,3.1718438868976504,3.5
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,392.0,156.0,0.0,336530303.0,383056,46055,0.0,1902.0,258000000.0,2007.0,6.2,2.35,0,413300,52722,559,115.69981399999999,890871626,139.0,5.9,3576,39000.0,2.8631710362047436,3.3
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,392.0,156.0,0.0,336530303.0,383071,46055,0.0,1902.0,258000000.0,2007.0,6.2,2.35,0,413300,52722,559,115.69981399999999,890871626,139.0,5.9,3576,39000.0,2.8631710362047436,3.3
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2010,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,324.0,100.0,15.0,200807262.0,294810,2036,1.0,387.0,260000000.0,2010.0,7.8,1.85,29000,398286,81847,38757,48.681969,591794936,100.0,7.4,3330,1636.0,3.733333333333333,4.1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,635.0,141.0,0.0,458991599.0,462669,92000,4.0,1117.0,250000000.0,2015.0,7.5,2.35,118000,2395427,122892,99861,134.27922900000002,1405403694,141.0,7.3,6767,66000.0,3.5617795622328714,4.1
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,375.0,153.0,282.0,301956980.0,321795,58753,3.0,973.0,250000000.0,2009.0,7.5,2.35,10000,417741,69844,767,98.885637,933959197,153.0,7.4,5293,46000.0,3.834885361552028,3.8
